"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2012","1,476.5","1,225.0","1,497.5","1,206.0","281.06M","20.53%"
"Jul 01, 2012","1,502.5","1,485.0","1,555.0","1,405.0","299.83M","1.76%"
"Aug 01, 2012","1,595.0","1,545.0","1,630.0","1,542.5","203.57M","6.16%"
"Sep 01, 2012","1,580.0","1,595.0","1,667.5","1,522.5","218.93M","-0.94%"
"Oct 01, 2012","1,263.5","1,575.0","1,625.0","1,100.0","827.12M","-20.03%"
"Nov 01, 2012","1,545.0","1,295.0","1,607.5","1,285.0","420.39M","22.28%"
"Dec 01, 2012","1,570.0","1,517.5","1,592.5","1,452.5","287.94M","1.62%"
"Jan 01, 2013","1,630.0","1,595.0","1,630.0","1,441.0","271.98M","3.82%"
"Feb 01, 2013","1,717.5","1,652.5","1,807.5","1,615.0","289.20M","5.37%"
"Mar 01, 2013","2,170.0","1,695.0","2,210.0","1,690.0","437.26M","26.35%"
"Apr 01, 2013","2,412.5","2,170.0","2,435.0","2,087.5","458.93M","11.18%"
"May 01, 2013","2,585.0","2,422.5","3,050.0","2,325.0","473.03M","7.15%"
"Jun 01, 2013","2,895.0","2,450.0","2,935.0","2,425.0","391.11M","11.99%"
"Jul 01, 2013","3,120.0","2,895.0","3,505.0","2,775.0","570.65M","7.77%"
"Aug 01, 2013","3,095.0","3,160.0","3,465.0","2,975.0","413.59M","-0.80%"
"Sep 01, 2013","3,395.0","3,100.0","3,465.0","3,090.0","292.76M","9.69%"
"Oct 01, 2013","3,650.0","3,425.0","3,955.0","3,420.0","619.07M","7.51%"
"Nov 01, 2013","4,145.0","3,715.0","4,300.0","3,605.0","502.96M","13.56%"
"Dec 01, 2013","4,600.0","4,135.0","4,660.0","4,125.0","637.54M","10.98%"
"Jan 01, 2014","3,781.5","4,525.0","4,535.0","3,676.5","473.54M","-17.79%"
"Feb 01, 2014","3,834.0","3,706.5","4,068.5","3,327.5","743.94M","1.39%"
"Mar 01, 2014","3,900.0","3,735.0","4,216.0","3,666.5","629.95M","1.72%"
"Apr 01, 2014","3,795.0","3,945.0","4,092.0","3,375.5","618.45M","-2.69%"
"May 01, 2014","3,672.5","3,825.0","3,952.5","3,341.5","473.62M","-3.23%"
"Jun 01, 2014","3,771.5","3,741.0","3,960.0","3,715.0","406.80M","2.70%"
"Jul 01, 2014","3,786.0","3,776.5","3,894.0","3,703.0","271.83M","0.38%"
"Aug 01, 2014","3,753.0","3,745.0","3,762.5","3,352.0","355.78M","-0.87%"
"Sep 01, 2014","3,844.5","3,753.0","4,380.0","3,707.5","678.03M","2.44%"
"Oct 01, 2014","3,969.5","3,850.0","4,000.0","3,372.0","596.22M","3.25%"
"Nov 01, 2014","3,981.5","4,175.0","4,200.0","3,840.5","443.14M","0.30%"
"Dec 01, 2014","3,605.0","3,976.0","4,007.5","3,506.0","309.60M","-9.46%"
"Jan 01, 2015","3,481.5","3,592.0","3,744.0","3,385.0","340.22M","-3.43%"
"Feb 01, 2015","3,683.5","3,485.5","3,733.5","3,463.0","265.85M","5.80%"
"Mar 01, 2015","3,490.0","3,698.5","3,714.0","3,426.0","302.32M","-5.25%"
"Apr 01, 2015","3,752.5","3,490.5","3,913.5","3,444.0","327.43M","7.52%"
"May 01, 2015","3,723.5","3,749.5","3,787.0","3,597.0","233.63M","-0.77%"
"Jun 01, 2015","3,604.5","3,675.0","3,786.5","3,551.5","271.05M","-3.20%"
"Jul 01, 2015","3,440.5","3,600.0","3,615.0","3,300.0","255.88M","-4.55%"
"Aug 01, 2015","3,531.5","3,427.5","3,900.0","3,392.5","437.55M","2.64%"
"Sep 01, 2015","2,738.5","3,515.0","3,540.0","2,685.0","348.95M","-22.46%"
"Oct 01, 2015","3,398.5","2,740.0","3,479.0","2,721.0","313.48M","24.10%"
"Nov 01, 2015","3,268.5","3,363.0","3,485.5","3,243.0","213.36M","-3.83%"
"Dec 01, 2015","3,069.5","3,265.0","3,319.5","2,995.5","215.19M","-6.09%"
"Jan 01, 2016","2,632.5","3,025.0","3,072.5","2,270.0","404.98M","-14.24%"
"Feb 01, 2016","2,787.0","2,732.5","2,957.5","2,066.5","680.52M","5.87%"
"Mar 01, 2016","2,683.0","2,787.0","2,998.5","2,681.0","338.60M","-3.73%"
"Apr 01, 2016","2,994.0","2,690.0","3,186.5","2,649.5","325.14M","11.59%"
"May 01, 2016","3,114.0","2,850.0","3,144.0","2,839.0","190.54M","4.01%"
"Jun 01, 2016","2,894.5","3,130.0","3,221.5","2,725.0","301.84M","-7.05%"
"Jul 01, 2016","2,851.5","2,900.0","3,029.5","2,597.0","296.80M","-1.49%"
"Aug 01, 2016","3,378.0","2,851.5","3,506.0","2,848.5","575.33M","18.46%"
"Sep 01, 2016","3,261.0","3,407.5","3,499.5","3,144.5","211.23M","-3.46%"
"Oct 01, 2016","3,301.0","3,261.5","3,411.5","3,226.0","214.50M","1.23%"
"Nov 01, 2016","3,356.0","3,290.0","3,490.0","2,976.5","269.63M","1.67%"
"Dec 01, 2016","3,882.5","3,439.0","4,034.0","3,385.5","373.56M","15.69%"
